graph,method,metric,value,timestamp,database,subset,min_cov_ignored,run_id
$S_\text{Off-2}$,edge-left,$\mu_1$: NodeCount,2016523.0,2026-04-28 20:04:01.529130931,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-2}$,edge-left,$\mu_2$: EdgeCount,3339267.0,2026-04-28 20:04:01.529130931,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-2}$,edge-left,$\mu_3$: AvgNodePropCount,9.861892971218284,2026-04-28 20:04:01.529130931,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-2}$,edge-left,$\mu_4$: AvgEdgePropCount,3.2509934066367396,2026-04-28 20:04:01.529130931,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-3}$,denormalized,$\mu_1$: NodeCount,2016523.0,2026-04-28 20:06:18.045939351,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-3}$,denormalized,$\mu_2$: EdgeCount,3339267.0,2026-04-28 20:06:18.045939351,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-3}$,denormalized,$\mu_3$: AvgNodePropCount,9.861892971218284,2026-04-28 20:06:18.045939351,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-3}$,denormalized,$\mu_4$: AvgEdgePropCount,3.2509934066367396,2026-04-28 20:06:18.045939351,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-3}$,all,$\mu_1$: NodeCount,2017388.0,2026-04-28 20:07:20.872702860,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-3}$,all,$\mu_2$: EdgeCount,4367058.0,2026-04-28 20:07:20.872702860,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-3}$,all,$\mu_3$: AvgNodePropCount,9.009411674898349,2026-04-28 20:07:20.872702860,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-3}$,all,$\mu_4$: AvgEdgePropCount,2.485869205309275,2026-04-28 20:07:20.872702860,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-3}$,denormalized,$\mu_1$: NodeCount,2016523.0,2026-04-28 20:09:23.748259523,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-3}$,denormalized,$\mu_2$: EdgeCount,3339267.0,2026-04-28 20:09:23.748259523,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-3}$,denormalized,$\mu_3$: AvgNodePropCount,9.861892971218284,2026-04-28 20:09:23.748259523,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-3}$,denormalized,$\mu_4$: AvgEdgePropCount,3.2509934066367396,2026-04-28 20:09:23.748259523,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-3}$,node-left,$\mu_1$: NodeCount,2017388.0,2026-04-28 20:10:25.757187878,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-3}$,node-left,$\mu_2$: EdgeCount,4367058.0,2026-04-28 20:10:25.757187878,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-3}$,node-left,$\mu_3$: AvgNodePropCount,9.009411674898349,2026-04-28 20:10:25.757187878,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-3}$,node-left,$\mu_4$: AvgEdgePropCount,2.485869205309275,2026-04-28 20:10:25.757187878,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
